City,lat,lon,Converted Amount,OUTPUT
"Acton, CA",34.469994,-118.1967418,0.47,213.5508307
Agoura Hills,34.154121,-118.757332,0.581,234.7622021
"Agua Dulce, CA",34.4963817,-118.3256348,0.584,235.3569592
"Alhambra, CA",34.095287,-118.1270146,0.72,261.2571092
Alondra Park,33.883715,-118.339037,0.643,246.4656694
Altadena,34.190162,-118.1313188,0.669,251.4193588
"Arcadia, CA",34.1397292,-118.0353449,0.696,256.7077165
"Artesia, CA",33.8658484,-118.0831212,1,314.4957879
"Avalon, CA",33.3428193,-118.3282279,0,124.14233
Avocado Heights,34.0361217,-117.9911765,0.709,259.1386661
Azusa,34.1336186,-117.9075627,0.659,249.6524344
"Baldwin Park, CA",34.0852868,-117.9608978,0.691,255.6787997
Bell Gardens,33.9652918,-118.1514588,0.822,280.607963
"Bell, CA",33.8816818,-118.1170117,0.614,241
"Bellflower, CA",33.977514,-118.187016,0.758,268.4480257
"Beverly Hills, CA",34.0736204,-118.4003563,0.642,246.2866769
Bradbury,34.146951,-117.970898,0.668,251.2683873
"Burbank, CA",34.1808392,-118.3089661,0.647,247.267912
Calabasas,34.1367208,-118.6614809,0.584,235.3888776
"Carson, CA",33.8316745,-118.281693,0.606,239.498334
Castaic,34.4890363,-118.6256552,0.582,234.8347089
Cerritos,33.8583483,-118.0647871,0.865,288.8761271
"Charter Oak, CA",34.098945,-117.848726,0.675,252.6580857
Citrus,34.115008,-117.891729,0.68,253.6315932
"Claremont, CA",34.0966764,-117.7197785,0.668,251.2843606
"Commerce, CA",34.0005691,-118.1597929,0.765,269.7936352
"Compton, CA",33.8958492,-118.2200712,0.717,260.703208
Covina,34.0900091,-117.8903397,0.682,253.9245301
"Cudahy, CA",33.960865,-118.185786,0.772,271.0284487
Culver City,34.0211224,-118.3964665,0.628,243.6422921
Del Aire,33.9161251,-118.3695196,0.635,245.0415585
Desert View Highlands,34.590823,-118.152574,0.398,199.9971647
Diamond Bar,34.028623,-117.810337,0.684,254.276862
"Downey, CA",33.9401088,-118.1331593,0.937,302.4963105
Duarte,34.1394513,-117.9772873,0.67,251.6705783
East Compton,33.898071,-118.195348,0.757,268.3206953
East La Mirada,33.924458,-117.988953,0.73,263.0616495
"East Los Angeles, CA",34.022442,-118.166974,0.754,267.5904815
East Pasadena,34.138238,-118.074225,0.691,255.6622422
East Rancho Dominguez,33.898071,-118.195348,0.757,268.3206953
East San Gabriel,34.121428,-118.079896,0.697,256.7563071
"East San Gabriel Valley, CA",34.121428,-118.079896,0.713,259.9524437
El Segundo,33.915007,-118.404626,0.629,243.8260675
Elizabeth Lake,34.666072,-118.397324,0.46,211.7503853
Florence-Graham,33.9671978,-118.2436197,0.701,257.6272551
Hacienda Heights,33.9930677,-117.9686755,0.708,258.8490068
Hasley Canyon,34.474582,-118.67334,0.581,234.6567117
Hawaiian Gardens,33.8314045,-118.0728424,0.829,281.9874264
"Hawthorne, CA",33.9164032,-118.3525748,0.639,245.7563856
Hermosa Beach,33.8622366,-118.3995194,0.63,244.0004094
Hidden Hills,34.160283,-118.65231,0.585,235.4176684
Huntington Park,33.9816812,-118.2250725,0.733,263.691677
"El Monte, CA",34.0686206,-118.0275667,0.714,260.0567163
"Gardena, CA",33.8883487,-118.3089624,0.652,248.2590986
"Glendale, CA",34.1425078,-118.255075,0.664,250.5914786
"Glendora, CA",34.1361187,-117.865339,0.675,252.6890926
