City,lat,lon,Converted Amount,Amount
"Acton, CA",34.469994,-118.1967418,0.033,6000.84
Agoura Hills,34.154121,-118.757332,0.099,16465.97
"Agua Dulce, CA",34.4963817,-118.3256348,0.011,2640.18
"Alhambra, CA",34.095287,-118.1270146,0.424,67599.51
Alondra Park,33.883715,-118.339037,0.038,6787.68
Altadena,34.190162,-118.1313188,0.209,33793.83
"Arcadia, CA",34.1397292,-118.0353449,0.287,46003.28
"Artesia, CA",33.8658484,-118.0831212,0.079,13347.05
"Avalon, CA",33.3428193,-118.3282279,0.014,3003.58
Avocado Heights,34.0361217,-117.9911765,0.072,12174.69
Azusa,34.1336186,-117.9075627,0.24,38551.21
"Baldwin Park, CA",34.0852868,-117.9608978,0.382,60924.01
Bell Gardens,33.9652918,-118.1514588,0.211,34085.34
"Bell, CA",33.8816818,-118.1170117,0.176,28611.43
"Bellflower, CA",33.977514,-118.187016,0.388,61806.44
"Beverly Hills, CA",34.0736204,-118.4003563,0.17,27548.09
Bradbury,34.146951,-117.970898,0,858.73
"Burbank, CA",34.1808392,-118.3089661,0.524,83240.72
Calabasas,34.1367208,-118.6614809,0.117,19193.84
"Carson, CA",33.8316745,-118.281693,0.463,73684.09
Castaic,34.4890363,-118.6256552,0.09,15021.85
Cerritos,33.8583483,-118.0647871,0.246,39503.16
"Charter Oak, CA",34.098945,-117.848726,0.041,7354.9
Citrus,34.115008,-117.891729,0.049,8584.14
"Claremont, CA",34.0966764,-117.7197785,0.176,28482.66
"Commerce, CA",34.0005691,-118.1597929,0.06,10330.04
"Compton, CA",33.8958492,-118.2200712,0.49,77891.63
Covina,34.0900091,-117.8903397,0.241,38711.58
"Cudahy, CA",33.960865,-118.185786,0.117,19189.89
Culver City,34.0211224,-118.3964665,0.194,31355.89
Del Aire,33.9161251,-118.3695196,0.045,7900.79
Desert View Highlands,34.590823,-118.152574,0.006,1864.4
Diamond Bar,34.028623,-117.810337,0.28,44859.36
"Downey, CA",33.9401088,-118.1331593,0.568,90195.88
Duarte,34.1394513,-117.9772873,0.105,17384.74
East Compton,33.898071,-118.195348,0.042,7482.88
East La Mirada,33.924458,-117.988953,0.044,7708.03
"East Los Angeles, CA",34.022442,-118.166974,0.63,99931.84
East Pasadena,34.138238,-118.074225,0.025,4853.76
East Rancho Dominguez,33.898071,-118.195348,0.071,11956.65
East San Gabriel,34.121428,-118.079896,0.069,11750.46
"East San Gabriel Valley, CA",34.121428,-118.079896,0.905,143254
El Segundo,33.915007,-118.404626,0.08,13479.77
Elizabeth Lake,34.666072,-118.397324,0.003,1387.24
Florence-Graham,33.9671978,-118.2436197,0.313,50075.73
Hacienda Heights,33.9930677,-117.9686755,0.266,42690.02
Hasley Canyon,34.474582,-118.67334,0,898.23
Hawaiian Gardens,33.8314045,-118.0728424,0.068,11500.03
"Hawthorne, CA",33.9164032,-118.3525748,0.434,69190.57
Hermosa Beach,33.8622366,-118.3995194,0.094,15713.89
Hidden Hills,34.160283,-118.65231,0.004,1516.01
Huntington Park,33.9816812,-118.2250725,0.293,46895.98
"El Monte, CA",34.0686206,-118.0275667,0.58,92138.49
"Gardena, CA",33.8883487,-118.3089624,0.298,47712.05
"Glendale, CA",34.1425078,-118.255075,1,158131.93
"Glendora, CA",34.1361187,-117.865339,0.253,40639.18
